base_image,variant_file,index,mode,channel,psnr,ssim
nagaoka_fireworks.png,nagaoka_fireworks_7_normalB.png,7,normal,B,40.37366521922047,0.8837903803844758
nagaoka_fireworks.png,nagaoka_fireworks_7_normalG.png,7,normal,G,40.36880487327651,0.8826076138359276
nagaoka_fireworks.png,nagaoka_fireworks_7_normalI.png,7,normal,I,42.672542511972,0.9740299824783689
nagaoka_fireworks.png,nagaoka_fireworks_7_normalR.png,7,normal,R,40.358472173706225,0.8840562463173265
nagaoka_fireworks.png,nagaoka_fireworks_7_normalX.png,7,normal,X,42.58969233401113,0.9751677282052239
nagaoka_fireworks.png,nagaoka_fireworks_8_invB.png,8,inv,B,39.91235898299226,0.8829706401859934
nagaoka_fireworks.png,nagaoka_fireworks_8_invG.png,8,inv,G,39.925869455368,0.8779430878084684
nagaoka_fireworks.png,nagaoka_fireworks_8_invI.png,8,inv,I,41.87536363588515,0.9726784675317861
nagaoka_fireworks.png,nagaoka_fireworks_8_invR.png,8,inv,R,39.93379923681094,0.8814088572273504
nagaoka_fireworks.png,nagaoka_fireworks_8_invX.png,8,inv,X,41.91752971313724,0.973967191384782
nagaoka_fireworks.png,nagaoka_fireworks_8_normalB.png,8,normal,B,39.8324134151226,0.8838349817465733
